1732339338.16454077,2341,537738.16454077,2.37638545,-10.76076221,-0.07413645,0.00200497,0.00381162,-0.20334197,0.97909831
1732339339.96607256,2341,537739.96607256,1.80543184,-10.47286510,-0.05998228,0.01329142,0.00590273,-0.09245014,0.99561110
1732339340.76676178,2341,537740.76676178,1.50130546,-10.38878727,-0.04543005,0.00821573,0.00557150,0.03720903,0.99925820
1732339341.36736202,2341,537741.36736202,1.24246943,-10.37890530,-0.04574149,0.00801779,0.00252878,0.13875536,0.99029100
1732339342.76849413,2341,537742.76849413,0.78628802,-10.66200638,-0.04937023,0.01355073,-0.00017019,0.23894853,0.97093766
1732339345.37068534,2341,537745.37068534,-0.06190445,-11.04496193,-0.04792901,0.00811100,0.00177594,0.36603167,0.93056535
1732339345.97120237,2341,537745.97120237,-0.21994822,-11.21021461,-0.05356748,0.01027344,0.00584214,0.46950539,0.88285051
1732339346.57171011,2341,537746.57171011,-0.32865211,-11.41937256,-0.03472290,0.01556784,0.00576740,0.57163504,0.82034003
1732339347.17221260,2341,537747.17221260,-0.38562700,-11.65310001,-0.03960378,0.01131092,0.00190158,0.66604213,0.74582593
1732339347.77272367,2341,537747.77272367,-0.40664303,-11.88066387,-0.06555744,0.01298405,0.00514466,0.74242477,0.66978385
1732339348.57350755,2341,537748.57350755,-0.36020577,-12.20038795,-0.06353249,0.00867284,0.00305334,0.81816795,0.57490579
1732339350.17477560,2341,537750.17477560,-0.05914121,-12.78669262,-0.06973252,0.01397150,0.00330778,0.87314057,0.48725701
1732339352.77700329,2341,537752.77700329,0.47634780,-13.66622829,-0.08710366,0.00942560,0.00427587,0.89091799,0.45404627
1732339353.97803450,2341,537753.97803450,0.79347742,-14.04634953,-0.09683612,0.00926196,0.00242823,0.93464381,0.35545642
1732339356.38008451,2341,537756.38008451,1.60624862,-14.67881870,-0.10919275,0.00866677,0.00402659,0.96295487,0.26949320
1732339359.18247795,2341,537759.18247795,2.48997521,-15.25457478,-0.12174368,0.00435889,0.00254958,0.96653223,0.25649553
1732339367.38947487,2341,537767.38947487,3.34863091,-15.77465534,-0.12631804,0.00569775,0.00390570,0.96880191,0.24774006
1732339370.39204073,2341,537770.39204073,3.91196036,-16.00688171,-0.12968451,0.01095394,0.01497004,0.98951472,0.14323595
1732339372.99435806,2341,537772.99435806,4.92544270,-16.25764656,-0.13868620,0.00654891,0.00883460,0.99883600,0.04696505
1732339375.59648943,2341,537775.59648943,5.98433828,-16.35773277,-0.14830063,0.00321113,0.00937836,0.99994654,0.00294157
1732339377.99854016,2341,537777.99854016,6.99211884,-16.39493752,-0.15744807,-0.00194717,-0.00319382,-0.99994039,0.01025763
1732339380.00023174,2341,537780.00023174,7.80170584,-16.31931496,-0.15654476,0.00131346,-0.00395514,-0.99357120,0.11313222
1732339382.60255384,2341,537782.60255384,8.80874920,-16.08699226,-0.15689524,0.00101995,0.00253789,-0.98587889,0.16743757
1732339383.80349565,2341,537783.80349565,9.17982101,-15.89381886,-0.14601915,0.00033188,-0.00308805,-0.96028431,0.27900608
1732339384.60417247,2341,537784.60417247,9.38579273,-15.71532536,-0.13905850,0.00729888,-0.00888479,-0.91870468,0.39477778
1732339385.40485287,2341,537785.40485287,9.56682873,-15.50520802,-0.15426275,0.00275602,-0.01089637,-0.86776129,0.49685413
1732339386.40571690,2341,537786.40571690,9.73113537,-15.24846554,-0.14144881,-0.00353832,-0.00679664,-0.79911364,0.60113117
1732339387.00623989,2341,537787.00623989,9.77560997,-15.13418388,-0.17714673,-0.00351094,-0.00258631,-0.72941056,0.68406229
1732339387.80691671,2341,537787.80691671,9.77824879,-14.89905262,-0.15938354,-0.00557117,-0.00159297,-0.64245272,0.76630342
1732339388.60759687,2341,537788.60759687,9.73544502,-14.65466595,-0.15471558,-0.00520267,-0.00098177,-0.55425877,0.83232757
1732339389.40834570,2341,537789.40834570,9.64906502,-14.42560196,-0.13362917,-0.00882203,0.00171474,-0.45849601,0.88865102
1732339390.20895505,2341,537790.20895505,9.51623249,-14.23193073,-0.15384379,-0.00877173,0.00279988,-0.36351282,0.93154369
1732339392.21067905,2341,537792.21067905,9.02218342,-13.84767818,-0.15889801,-0.00923766,0.00162207,-0.26220878,0.96496559
1732339395.21324301,2341,537795.21324301,8.13464069,-13.33808422,-0.14103533,-0.00370190,0.00621210,-0.22302761,0.97478531
1732339398.21580315,2341,537798.21580315,7.16485834,-12.95498085,-0.13164611,-0.00164172,0.00743051,-0.14402913,0.98954419
1732339401.01819229,2341,537801.01819229,6.20797300,-12.62278271,-0.11507517,-0.00443416,0.00910049,-0.15343294,0.98810721
