1732337231.08639431,2341,535631.08639431,22.30404638,114.18042067,5.58915083,-12.30772695,-0.43933593,4.22327025,1.47565685,0.25706898,0.31240001,-0.04088243,-0.01867629,0.00108523
1732337231.28657746,2341,535631.28657746,22.30404640,114.18042079,5.59108024,-12.30209017,-0.43673829,4.19631387,1.48756962,0.25967118,0.31432942,-0.05487670,-0.02829541,0.00095509
1732337231.48673582,2341,535631.48673582,22.30404639,114.18042073,5.59282533,-12.27501501,-0.41705630,4.23499684,1.48187742,0.25832116,0.31607451,-0.06193811,-0.00412888,0.00198195
1732337231.68690991,2341,535631.68690991,22.30404637,114.18042074,5.59967103,-12.29041702,-0.46364251,4.19699706,1.48240607,0.25570746,0.32292021,-0.08715352,-0.03187413,0.00161284
1732337231.88720322,2341,535631.88720322,22.30404637,114.18042071,5.59746680,-12.29708858,-0.44191781,4.23583873,1.47913600,0.25611899,0.32071598,-0.08883044,0.02853660,0.00654461
1732337232.08725023,2341,535632.08725023,22.30404643,114.18042056,5.59712483,-12.29622720,-0.47707569,4.21864082,1.46399931,0.26317291,0.32037401,-0.10048411,0.06591956,0.00517962
1732337232.28743601,2341,535632.28743601,22.30404663,114.18042030,5.60275203,-12.28311711,-0.47847578,4.20957731,1.43744859,0.28500101,0.32600122,-0.12315385,0.07637618,0.00088078
1732337232.48759747,2341,535632.48759747,22.30404665,114.18042001,5.60375189,-12.31078259,-0.41922105,4.20668703,1.40709830,0.28665273,0.32700108,-0.15436190,0.06039344,0.00297805
1732337232.68778324,2341,535632.68778324,22.30404665,114.18041971,5.59893545,-12.24740977,-0.46173277,4.20649008,1.37609316,0.28734519,0.32218465,-0.15598590,0.07631235,-0.00108180
1732337232.88793230,2341,535632.88793230,22.30404671,114.18041926,5.59776700,-12.23585952,-0.49893015,4.24845807,1.32991518,0.29338179,0.32101621,-0.16182253,0.06867979,-0.00079347
1732337233.08812428,2341,535633.08812428,22.30404682,114.18041901,5.59849278,-12.19309598,-0.50819254,4.18179953,1.30465082,0.30557046,0.32174199,-0.18538116,0.06028314,0.00225206
1732337233.28828025,2341,535633.28828025,22.30404696,114.18041853,5.60025957,-12.08880520,-0.54388304,4.20584609,1.25456360,0.32120519,0.32350879,-0.18599012,0.04621969,-0.00088021
1732337233.48854494,2341,535633.48854494,22.30404703,114.18041819,5.59926216,-12.04143803,-0.58557295,4.19736548,1.21932523,0.32871173,0.32251139,-0.20614186,0.07350967,0.00158418
1732337233.68863344,2341,535633.68863344,22.30404717,114.18041765,5.60075002,-11.99564930,-0.63802790,4.12763604,1.16440088,0.34422415,0.32399926,-0.21846233,0.04204504,0.00533491
1732337233.88880014,2341,535633.88880014,22.30404719,114.18041729,5.59330275,-11.95665207,-0.63484956,4.13725355,1.12680840,0.34696515,0.31655199,-0.21235340,0.05595238,-0.00101509
1732337234.08897448,2341,535634.08897448,22.30404734,114.18041670,5.59125270,-11.93583817,-0.67468778,4.15595035,1.06654995,0.36373496,0.31450196,-0.21149741,0.06864878,-0.00031470
